Elem_name	ion.state	Wl	Ei	Ek	Ak	gi	gk	lineLeft	lineRight	bgrLeft	bgrRight	coment
Al	II	153.983	7.420705	15.4725	670000000	3	5					
Al	II	162.563	7.420705	15.0475561	131000000	3	1					
Al	II	167.079	0	7.420705	1410000000	1	3	166.99	167.2	167.21	167.25	none
Al	II	171.944	4.636145	11.846869	655000000	1	3					
Al	II	172.124	4.643693	11.846869	493000000	3	3					
Al	II	172.127	4.643693	11.846753	882000000	3	5					
Al	II	172.495	4.659052	11.846753	297000000	5	5					
Al	II	172.498	4.659052	11.846618	1180000000	5	7					
Al	II	175.061	10.598337	17.680649	57300000	5	7					
Al	II	176.01	4.643693	11.687827	313000000	3	5					
Al	II	176.198	4.636145	11.672797	412000000	1	3					
Al	II	176.387	4.643693	11.672797	304000000	3	3					
Al	II	176.395	4.659052	11.687827	921000000	5	5					
Al	II	176.582	4.643693	11.665048	1230000000	3	1					
Al	II	176.773	4.659052	11.672797	513000000	5	3	176.71	176.84	175.39	175.43	none
Al	II	177.28	11.665048	18.658729	941000000	1	3					
Al	II	177.4	11.672797	18.661751	1260000000	3	5					
Al	II	177.477	11.672797	18.658729	701000000	3	3					
Al	II	177.697	11.687827	18.665098	1670000000	5	7					
Al	II	177.782	11.687827	18.661751	418000000	5	5					
Al	II	181.835	11.846618	18.665098	545000000	7	7					
Al	II	181.839	11.846753	18.665098	68200000	5	7					
Al	II	181.929	11.846753	18.661751	425000000	5	5					
Al	II	182.012	11.846869	18.658729	457000000	3	3					
Al	II	182.859	11.316596	18.096925	472000000	3	5					
Al	II	183.284	11.316596	18.081198	469000000	3	3					
Al	II	183.481	11.316596	18.073939	467000000	3	1					
Al	II	183.696	10.598337	17.347743	40300000	5	3					
Al	II	185.593	4.636145	11.316596	83800000	1	3					
Al	II	185.803	4.643693	11.316596	249000000	3	3					
Al	II	185.998	10.598337	17.2642222	86800000	5	7					
Al	II	186.231	4.659052	11.316596	408000000	5	3					
Al	II	190.433	11.665048	18.175705	270000000	1	3					
Al	II	190.641	11.672797	18.176344	200000000	3	5					
Al	II	190.66	11.672797	18.175705	200000000	3	3					
Al	II	190.667	11.672797	18.175445	820000000	3	1					
Al	II	191.083	11.687827	18.176344	580000000	5	5					
Al	II	191.101	11.687827	18.175705	340000000	5	3					
Al	II	192.998	11.672797	18.096925	115000000	3	5					
Al	II	193.105	7.420705	13.841265	1040000000	3	1					
Al	II	193.238	11.665048	18.081198	153000000	1	3					
Al	II	193.45	11.687827	18.096925	344000000	5	5					
Al	II	193.471	11.672797	18.081198	114000000	3	3					
Al	II	193.691	11.672797	18.073939	456000000	3	1					
Al	II	193.926	11.687827	18.081198	189000000	5	3					
Al	II	195.877	11.846618	18.176344	570000000	7	5					
Al	II	198.365	11.846618	18.096925	4060000	7	5					
Al	II	198.87	11.846753	18.081198	3600000	5	3					
Al	II	199.053	7.420705	13.649399	1380000000	3	5					
Al	II	199.105	11.846869	18.073939	4770000	3	1					
Al	II	201.67	11.846618	17.994485	98200000	7	9					
Al	II	201.684	11.846618	17.994066	11000000	7	7					
Al	II	201.689	11.846753	17.994066	87300000	5	7					
Al	II	201.698	11.846753	17.993766	15300000	5	5					
Al	II	201.702	11.846869	17.993766	82500000	3	5					
Al	II	202.273	10.598337	16.727874	40500000	5	3					
Al	II	207.467	10.598337	16.574428	141000000	5	7					
Al	II	209.493	11.846618	17.764921	184000000	7	9					
Al	II	209.541	11.846618	17.763571	20500000	7	7					
Al	II	209.546	11.846753	17.763571	164000000	5	7					
Al	II	209.577	11.846753	17.762699	28700000	5	5					
Al	II	209.581	11.846869	17.762699	155000000	3	5					
Al	I	211.898	0	5.851109	10300000	2	4					
Al	I	212.403	0.0138938	5.851109	12200000	4	6					
Al	I	213.034	0	5.819939	15200000	2	4					
Al	I	213.541	0.0138938	5.82001	18100000	4	6					
Al	I	214.623	0	5.776835	20600000	2	4					
Al	I	215.138	0.0138938	5.776914	24600000	4	6					
Al	I	216.948	0	5.7148562	29600000	2	4					
Al	I	217.471	0.0138938	5.7149663	35300000	4	6					
Al	II	219.329	11.846618	17.499508	247000000	7	9					
Al	II	219.488	11.846618	17.495418	27400000	7	7					
Al	II	219.493	11.846753	17.495418	219000000	5	7					
Al	II	219.614	11.846753	17.492297	38300000	5	5					
Al	II	219.619	11.846869	17.492297	207000000	3	5					
Al	I	219.984	0	5.63598	1750000	2	2					
Al	I	220.528	0.0138938	5.63598	3490000	4	2					
