"Element"	"Eion"	"Eion_sd"
"N+I"	14.53413	4e-05
"W+I"	7.86403	1e-04
"S+I"	10.36001	0.00012
"He+I"	24.587389011	2.5e-08
"Er+I"	6.1077	0.001
"Yb+I"	6.25416	1.2e-05
"Ba+I"	5.2116646	1.2e-06
"V+I"	6.746187	2.1e-05
"Pt+I"	8.95883	1e-04
"Ta+I"	7.549571	2.5e-05
"Ar+I"	15.7596119	5e-07
"C+I"	11.260288	1.1e-06
"B+I"	8.298019	3e-06
"As+I"	9.78855	0.00025
"Be+I"	9.322699	7e-06
"Li+I"	5.391714996	2.2e-08
"Cd+I"	8.99382	1.6e-05
"Hg+I"	10.437504	6e-06
"Ti+I"	6.82812	1.2e-05
"Sn+I"	7.343918	1.2e-05
"Sr+I"	5.69486745	1.2e-07
"Mo+I"	7.09243	4e-05
"Pb+I"	7.4166799	6e-07
"Au+I"	9.225554	4e-06
"Zn+I"	9.394197	6e-06
"Ni+I"	7.639878	1.7e-05
"Co+I"	7.88101	0.00012
"Fe+I"	7.9024681	1.2e-06
"Mn+I"	7.434038	1.2e-06
"Cr+I"	6.76651	4e-05
"K+I"	4.34066373	9e-08
"Si+I"	8.15168	3e-05
"Na+I"	5.13907696	2.5e-07
"O+I"	13.618055	7e-06
"Cu+I"	7.72638	4e-06
"Mg+I"	7.646236	4e-06
"Ca+I"	6.11315547	2.5e-07
"Ag+I"	7.576234	2.5e-05
"Al+I"	5.985769	3e-06
