"Element"	"ionState"	"Ei"	"gi"
"N"	"II"	0	1
"N"	"II"	0.00604	3
"N"	"II"	0.01622	5
"N"	"II"	1.89897	5
"N"	"II"	4.05289	1
"N"	"II"	5.80055	5
"N"	"II"	11.43596	7
"N"	"II"	11.43758	5
"N"	"II"	11.43777	3
"N"	"II"	13.54113	3
"N"	"II"	13.54126	5
"N"	"II"	13.54199	1
"N"	"II"	17.877026	5
"N"	"II"	18.462312	1
"N"	"II"	18.466228	3
"N"	"II"	18.483133	5
"N"	"II"	18.49693	3
"N"	"II"	19.233263	3
"N"	"II"	20.409133	3
"N"	"II"	20.646058	3
"N"	"II"	20.653592	5
"N"	"II"	20.665518	7
"N"	"II"	20.676307	3
"N"	"II"	20.939965	3
"N"	"II"	21.148308	1
"N"	"II"	21.152682	3
"N"	"II"	21.159916	5
"N"	"II"	21.599539	5
"N"	"II"	22.103082	1
"N"	"II"	23.124489	5
"N"	"II"	23.131853	7
"N"	"II"	23.141959	9
"N"	"II"	23.196374	5
"N"	"II"	23.239296	3
"N"	"II"	23.242271	5
"N"	"II"	23.246033	7
"N"	"II"	23.41533	5
"N"	"II"	23.421752	3
"N"	"II"	23.425232	1
"N"	"II"	23.474568	7
"N"	"II"	23.571906	3
"N"	"II"	24.367883	1
"N"	"II"	24.37431	3
"N"	"II"	24.389123	5
"N"	"II"	24.531351	3
"N"	"II"	25.065964	3
"N"	"II"	25.133348	3
"N"	"II"	25.139688	5
"N"	"II"	25.151603	7
"N"	"II"	25.188937	1
"N"	"II"	25.192229	3
"N"	"II"	25.200902	5
"N"	"II"	25.235454	3
"N"	"II"	25.460177	5
"N"	"II"	25.4909	3
"N"	"II"	25.497874	5
"N"	"II"	25.506626	7
"N"	"II"	25.6536	1
"N"	"II"	25.996219	5
"N"	"II"	26.004194	7
"N"	"II"	26.014849	9
"N"	"II"	26.027477	5
"N"	"II"	26.066417	3
"N"	"II"	26.069666	5
"N"	"II"	26.074085	7
"N"	"II"	26.124123	5
"N"	"II"	26.129847	3
"N"	"II"	26.132949	1
"N"	"II"	26.164394	7
"N"	"II"	26.164749	5
"N"	"II"	26.167641	7
"N"	"II"	26.168135	9
"N"	"II"	26.173514	7
"N"	"II"	26.196278	7
"N"	"II"	26.197223	9
"N"	"II"	26.202344	3
"N"	"II"	26.209014	11
"N"	"II"	26.210511	9
"N"	"II"	26.211558	7
"N"	"II"	26.212139	5
"N"	"II"	26.220994	3
"N"	"II"	26.221455	5
"N"	"II"	26.253573	1
"N"	"II"	26.257305	3
"N"	"II"	26.263284	5
"N"	"II"	26.558898	1
"N"	"II"	26.564568	3
"N"	"II"	26.580245	5
"N"	"II"	26.635424	3
"N"	"II"	27.312	5
"N"	"II"	27.31	3
"N"	"II"	27.315	1
"N"	"II"	27.33794	5
"N"	"II"	27.3601	5
"N"	"II"	27.3653	7
"N"	"II"	27.407265	7
"N"	"II"	27.407576	5
"N"	"II"	27.40909	7
"N"	"II"	27.409602	9
"N"	"II"	27.418065	7
"N"	"II"	27.420805	9
"N"	"II"	27.420805	7
"N"	"II"	27.42126	9
"N"	"II"	27.421284	11
"N"	"II"	27.428609	7
"N"	"II"	27.429262	9
"N"	"II"	27.431029	3
"N"	"II"	27.43675	7
"N"	"II"	27.437237	5
"N"	"II"	27.437839	11
"N"	"II"	27.439081	9
"N"	"II"	27.440525	9
"N"	"II"	27.440537	11
"N"	"II"	27.443011	7
"N"	"II"	27.443034	9
"N"	"II"	27.444104	3
"N"	"II"	27.444457	5
"N"	"II"	27.445636	11
"N"	"II"	27.445638	13
"N"	"II"	27.44766	7
"N"	"II"	27.44766	5
"N"	"II"	27.616756	3
"N"	"II"	27.633399	5
"N"	"II"	27.657034	3
"N"	"II"	27.6611	3
"N"	"II"	27.728235	1
"N"	"II"	27.730126	3
"N"	"II"	27.733833	5
"N"	"II"	27.739182	7
"N"	"II"	27.745867	9
"N"	"II"	27.971269	3
"N"	"II"	27.974241	5
"N"	"II"	27.979665	7
"N"	"II"	28.080274	7
"N"	"II"	28.080517	5
"N"	"II"	28.081031	7
"N"	"II"	28.08144	9
"N"	"II"	28.099806	7
"N"	"II"	28.100182	9
"N"	"II"	28.104241	7
"N"	"II"	28.10454	5
"N"	"II"	28.10584	11
"N"	"II"	28.10675	9
"N"	"II"	28.10952	3
"N"	"II"	28.1098	5
"N"	"II"	28.354479	3
"N"	"II"	28.35913	5
"N"	"II"	28.366572	7
"N"	"II"	28.48523	7
"N"	"II"	28.48533	9
"N"	"II"	28.496399	5
"N"	"II"	28.5049	9
"N"	"II"	28.50869	11
"N"	"II"	28.50931	9
"N"	"II"	28.619488	5
"N"	"II"	30.124337	3
"N"	"II"	30.126519	5
"N"	"II"	30.129743	7
"N"	"II"	30.133933	9
"N"	"II"	30.138939	11
"N"	"II"	30.295949	7
"N"	"II"	30.300731	5
"N"	"II"	30.304034	3
"N"	"II"	30.368161	1
"N"	"II"	30.368676	3
"N"	"II"	30.369653	5
"N"	"II"	30.371039	7
"N"	"II"	30.372819	9
"N"	"II"	33.274675	9
"N"	"II"	33.279324	11
"N"	"II"	33.285202	13
"N"	"II"	33.279252	9
"N"	"II"	33.31654	7
"N"	"II"	33.317643	9
"N"	"II"	33.318735	11
"N"	"II"	34.50896	9
"N"	"II"	34.51315	11
"N"	"II"	34.519713	13
"W"	"II"	0	2
"W"	"II"	0.1883108	4
"W"	"II"	0.39333652	6
"W"	"II"	0.58474395	8
"W"	"II"	0.76214141	10
"W"	"II"	0.91999511	6
"W"	"II"	1.08006032	4
"W"	"II"	1.4011484	6
"W"	"II"	1.66286851	8
"W"	"II"	1.0951187	2
"W"	"II"	1.31330076	4
"W"	"II"	1.63328563	2
"W"	"II"	1.81442642	4
"W"	"II"	1.6656124	6
"W"	"II"	1.84205307	10
"W"	"II"	1.85576387	6
"W"	"II"	1.8779858	8
"W"	"II"	2.05232122	10
"W"	"II"	2.16190404	12
"W"	"II"	2.41055856	14
"W"	"II"	2.01284813	6
"W"	"II"	2.05684863	8
"W"	"II"	2.23179331	8
"W"	"II"	2.3545751	4
