Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
AMK 22-6025-2		0.24						0.07					0.023	0.033		98.0394									0.065	0.478		0.0013		1.02		0.004	0.0008						0.019				0.004		0.0013											0.001			0.0002		
ARL FE13	0.019	0.95	0.0029	0.032	0.0002		0.00015	0.46	0.002		0.0015	0.0015	0.035	0.013		97.58658							0.00007	0.0016	0.57	0.018	0.0025	0.0012	0.0002	0.0057	0.023	0.026	0.0004		0.006				0.009	0.0023		0.0014	0.105	  0.05000000	0.0025						0.0001	0.0008		0.0008		0.0025	0.065		0.0011	0.001	
ARL FE14	0.03	0.03	0.007		0.0001		0.0001	0.33			0.0017	0.0065	0.14	0.105		97.87448							0.0005	0.0015	1.02	0.023	0.0033	0.0013	0.0003	0.052		0.015	0.00012		0.005				0.018	0.0012	0.001	0.0014	0.24		0.007						0.0004	0.0003		0.002		0.0017	0.0011		0.004	0.075	
ARL FE15		1.01	0.003		0.00015		0.00015	0.41	0.00008		0.0015	0.001	0.033	0.012		97.7509							0.00012	0.001	0.59	0.018		0.001		0.005		0.025	0.0002						0.011	0.0025		0.0002	0.11		0.0022						0.0002	0.0001		0.001		0.0023	0.007		0.0004	0.001	
ARL FE16		0.98	0.0028		0.00015		0.0002	0.42			0.0011	0.0015	0.03	0.005		97.7399							0.0001	0.0015	0.605	0.019		0.0013	0.0008	0.0042		0.035	0.001		0.002				0.0026	0.0025		0.0017	0.125	  0.00190000	0.0018						0.00015	0.0008		0.0009		0.0034	0.006		0.0012	0.0015	
ARL FE17	0.023	1.01	0.0028		0.00015		0.00025	0.39	0.0005		0.0033	0.0015	0.029	0.039		97.6467							0.0003	0.003	0.51	0.017		0.0016	0.0021	0.0048		0.016	0.0005		0.008				0.0011	0.0015		0.001	0.1	  0.08000000	0.0026						0.0001	0.0011		0.0011		0.002	0.002		0.003	0.095	
ARL FE18	0.011	0.78	0.003		0.00013		0.0002	0.49	0.0002		0.003	0.0015	0.037	0.011		97.77477							0.0002	0.003	0.56	0.015		0.0013	0.008	0.0105		0.016	0.0003		0.003				0.005	0.0008		0.001	0.11	  0.01200000	0.0018						0.0001			0.0007		0.002	0.04		0.0025	0.095	
ARL FE19		0.03	0.005	0.031	0.0001		0.0001	1.57		  0.00010000	0.002	0.0045	0.11	0.08		96.7789							0.0001	0.0012	0.79	0.021	0.003	0.0012	0.0001	0.038		0.031	0.0005		0.0047				0.022	0.001			0.37		0.006							0.0003		0.01		0.0065	0.0012		0.0025	0.078	
ARL FE20	0.0002	0.025	0.0041		0.00006		0.0001	0.39	0.0001		0.003	0.0046	0.115	0.069		97.92924							0.0001	0.0018	0.95	0.027	0.003	0.0013		0.045		0.014	0.0001		0.0045				0.014	0.0005		0.0014	0.26		0.0054							0.0003		0.0017		0.0019	0.0006		0.007	0.12	
ARL FE21	0.038	0.03	0.007		0.0003		0.0006	0.39	0.001	  0.00020000	0.005	0.007	0.16	3.18		94.5099							0.0001	0.002	1.035	0.029	0.01	0.004		0.062		0.016	0.0019						0.022	0.0013		0.032	0.3		0.0086						0.0001	0.0016		0.0014		0.003	0.021			0.12	
